DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AD,2009,-11.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AD,2010,4.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AD,2012,-29.8,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AD,2016,14.5,e
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AD,2018,15.6,e
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AD,2019,14.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2009,-10.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2010,-8.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2011,-6.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2012,-6.8,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2013,-7.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2014,-7.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2015,-7.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2016,-3.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2017,-5.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2018,-5.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2019,-8.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AL,2020,-5.9,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2009,-1.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2010,-1.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2011,-1.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2015,-8.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2016,-8.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2017,-8.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2018,-6.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AM,2020,1.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2009,2.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2010,2.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2011,3.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2012,5.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2013,6.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2014,8.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2015,13.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2016,7.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2017,5.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2018,4.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2019,4.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AT,2020,4.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2009,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2010,0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2011,0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2012,0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2013,0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2014,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2015,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2016,0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2017,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2018,0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2019,0.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,AZ,2020,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2009,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2010,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2011,-0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2012,0.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2013,0.1,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2014,0.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2016,0.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2017,-0.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BA,2018,0.0,p
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2009,5.9,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2010,7.9,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2011,4.6,b
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2012,3.9,b
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2013,2.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2014,3.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2015,5.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2016,2.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2017,3.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2018,4.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2019,5.0,
